Source, Données, Années
Pêcherie au hareng rogué au filet maillant, Captures, 1972 à 2018
Pêcherie au hareng rogué, Captures, 1972 à 2018
Autres pêcheries, Captures, 1951 à 2018
Pêcherie d'essai (seine), Biologique: nombre-par-âge, 1975 à 2018
Pêcherie d'essai (seine), Biologique: poids-par-âge, 1975 à 2018
Roe seine fishery, Biologique: nombre-par-âge, 1972 à 2018
Roe seine fishery, Biologique: poids-par-âge, 1972 à 2018
Roe gillnet fishery, Biologique: number-at-age, 1972 à 2018
Autres pêcheries, Biologique: nombre-par-âge, 1951 à 2018
Autres pêcheries, Biologique: poids-par-âge, 1951 à 2018
Relevé de surface, Abondance: indice de reproduction, 1951 à 1987
Relevé de plongé, Abondance: indice de reproduction, 1988 à 2018
